河南央卫,#genre#
CCTV1-综合,http://113.195.44.106:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://113.195.44.106:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://113.195.44.106:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://113.195.44.106:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://113.195.44.106:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://113.195.44.106:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://113.195.44.106:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://113.195.44.106:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://113.195.44.106:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://113.195.44.106:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://113.195.44.106:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://113.195.44.106:9901/tsfile/live/1060_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://113.195.44.106:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://113.195.44.106:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://113.195.44.106:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV16,http://113.195.44.106:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17,http://113.195.44.106:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://113.195.44.106:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
江西2台,http://113.195.44.106:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=0&authid=0
江西3台,http://113.195.44.106:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=0&authid=0
江西4台,http://113.195.44.106:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=0&authid=0
江西5台,http://113.195.44.106:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=0&authid=0
江西6台,http://113.195.44.106:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=0&authid=0
江西7台,http://113.195.44.106:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=0&authid=0
江西8台,http://113.195.44.106:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=0&authid=0
中国教育1台,http://113.195.44.106:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=0&authid=0
中国教育4台,http://113.195.44.106:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=0&authid=0
哈哈炫动,http://113.195.44.106:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://113.195.44.106:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
新动漫,http://113.195.44.106:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://113.195.44.106:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://113.195.44.106:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://113.195.44.106:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://113.195.44.106:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://113.195.44.106:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://113.195.44.106:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
